Participant Table
Participant,Age,Sex,FBInfo
447d9d6559a5163e5297,30,0,N/A


Single-Player Game Level
Participant,GameNum,PlayerNum,Difficulty,RoundDuration,Hits,Confidence,Assets,AI_Assets,TotalTime,TargetLocations,Choices,TargetClear,TargetPossible,TargetConfirm
447d9d6559a5163e5297,2224,1,1,0;10;20,5,15
447d9d6559a5163e5297,2225,1,1,5,10;15;20,0
447d9d6559a5163e5297,2226,1,1,20;22;23,21,24
447d9d6559a5163e5297,2227,1,1,20;21;22;23;24,,
447d9d6559a5163e5297,2228,1,1,20;22;24,,21;23
447d9d6559a5163e5297,2228,1,2,,,
447d9d6559a5163e5297,2229,1,1,0;5;10;15,,20
447d9d6559a5163e5297,2230,1,1,5;20,10;15,0
447d9d6559a5163e5297,2230,1,2,,,
447d9d6559a5163e5297,2231,1,1,21;22;23;24,,20
447d9d6559a5163e5297,2231,1,2,22,,
447d9d6559a5163e5297,2231,1,3,,,
447d9d6559a5163e5297,2235,1,1,,,
447d9d6559a5163e5297,2236,1,1,5;15;20,10,0
447d9d6559a5163e5297,2236,1,2,,,
447d9d6559a5163e5297,2237,1,1,20;22;23;24,,21
447d9d6559a5163e5297,2238,1,1,0,,5;10;15;20
447d9d6559a5163e5297,2238,1,2,,,
447d9d6559a5163e5297,2239,1,1,,,
447d9d6559a5163e5297,2240,1,1,20;22;23;24,,21
447d9d6559a5163e5297,2240,1,2,0;1;2;4;2,21,3
447d9d6559a5163e5297,2240,1,3,15;16;17;18;10;13;17,12;14;8,19;11
447d9d6559a5163e5297,2240,1,4,9,,11
447d9d6559a5163e5297,2240,1,5,7,,3
447d9d6559a5163e5297,2241,1,1,20;21;22;23;24;1;2;3;4,0,
447d9d6559a5163e5297,2241,1,2,12;14;22,10;13,11;9
447d9d6559a5163e5297,2241,1,3,15;18;5;17,16;17;19;7,6;8;9;8
447d9d6559a5163e5297,2241,1,4,,13,11
447d9d6559a5163e5297,2241,1,5,15;16;17;19;1;2;3;4,18;0,6
447d9d6559a5163e5297,2242,1,1,,,
447d9d6559a5163e5297,2242,1,2,,,
447d9d6559a5163e5297,2242,1,3,,,
447d9d6559a5163e5297,2242,1,4,,,
447d9d6559a5163e5297,2242,1,5,,,
447d9d6559a5163e5297,2243,1,1,,,
447d9d6559a5163e5297,2243,1,2,,,
447d9d6559a5163e5297,2243,1,3,,,
447d9d6559a5163e5297,2243,1,4,,,
447d9d6559a5163e5297,2243,1,5,,,


Single-player Assets in Each Round
Participant,GameNum,PlayerNum,Round,AssetType,TargetClear,TargetPossible,TargetConfirm
447d9d6559a5163e5297,1955,1,1,0,4;9;24,19,14
447d9d6559a5163e5297,1955,1,1,1,20;21;22;23;24,,
447d9d6559a5163e5297,1955,1,1,2,0;2;3;4,1,
447d9d6559a5163e5297,1955,1,1,3,12,,
447d9d6559a5163e5297,1955,1,1,4,,,
447d9d6559a5163e5297,1955,1,1,5,,,
447d9d6559a5163e5297,1955,1,1,6,,,
447d9d6559a5163e5297,1955,1,2,0,,,
447d9d6559a5163e5297,1955,1,2,1,,,
447d9d6559a5163e5297,1955,1,2,2,,,
447d9d6559a5163e5297,1955,1,2,3,,,
447d9d6559a5163e5297,1955,1,2,4,,,
447d9d6559a5163e5297,1955,1,2,5,,,
447d9d6559a5163e5297,1955,1,2,6,,,
447d9d6559a5163e5297,1956,1,1,0,19,4;14;24,9
447d9d6559a5163e5297,1956,1,1,1,20;21;22;23;24,,
447d9d6559a5163e5297,1956,1,1,2,0;2;3,1,4
447d9d6559a5163e5297,1956,1,1,3,,12,
447d9d6559a5163e5297,1956,1,1,4,,,
447d9d6559a5163e5297,1956,1,1,5,,,
447d9d6559a5163e5297,1956,1,1,6,,,
447d9d6559a5163e5297,1959,1,1,0,4;14;24,9;19,
447d9d6559a5163e5297,1959,1,1,1,,,
447d9d6559a5163e5297,1959,1,1,2,,,
447d9d6559a5163e5297,1959,1,1,3,,,
447d9d6559a5163e5297,1959,1,1,4,,,
447d9d6559a5163e5297,1959,1,1,5,,,
447d9d6559a5163e5297,1959,1,1,6,,,
447d9d6559a5163e5297,1959,1,2,0,3;18;23,8,13
447d9d6559a5163e5297,1959,1,2,1,20;21;22;24,23,
447d9d6559a5163e5297,1959,1,2,2,2;3,4,0;1
447d9d6559a5163e5297,1959,1,2,3,,12,
447d9d6559a5163e5297,1959,1,2,4,,,
447d9d6559a5163e5297,1959,1,2,5,,,
447d9d6559a5163e5297,1959,1,2,6,,,
447d9d6559a5163e5297,1959,1,3,0,,,
447d9d6559a5163e5297,1959,1,3,1,,,
447d9d6559a5163e5297,1959,1,3,2,,,
447d9d6559a5163e5297,1959,1,3,3,,11,
447d9d6559a5163e5297,1959,1,3,4,,,
447d9d6559a5163e5297,1959,1,3,5,,,
447d9d6559a5163e5297,1959,1,3,6,,,
