pydev debugger: starting (pid: 6680)
Participant Table
Participant,Age,Sex,FBInfo
fb5fe58a0f24db0236ee,15187,1,2,1,,,
fb5fe58a0f24db0236ee,15187,1,2,2,21;22;24,20;23,
fb5fe58a0f24db0236ee,15187,1,2,5,,22,
fb5fe58a0f24db0236ee,15187,1,2,6,,18,
bot,15187,2,2,0,4;9;14;24,19,
bot,15187,2,2,3,,,12
bot,15187,2,2,4,16,,
fb5fe58a0f24db0236ee,15187,1,3,1,21;22;23;24,,20
fb5fe58a0f24db0236ee,15187,1,3,2,15;16;17;18;19,,
fb5fe58a0f24db0236ee,15187,1,3,5,18,,
fb5fe58a0f24db0236ee,15187,1,3,6,13,,
bot,15187,2,3,0,0;5,15,10;20
bot,15187,2,3,3,,12,
bot,15187,2,3,4,11,,
fb5fe58a0f24db0236ee,15187,1,4,1,,,
fb5fe58a0f24db0236ee,15187,1,4,2,10;13;14,11,12
fb5fe58a0f24db0236ee,15187,1,4,5,17,,
fb5fe58a0f24db0236ee,15187,1,4,6,,,12
bot,15187,2,4,0,1;6;11;21,,16
bot,15187,2,4,3,3,,
bot,15187,2,4,4,5,,
fb5fe58a0f24db0236ee,15187,1,5,1,20;21;22;24,,23
fb5fe58a0f24db0236ee,15187,1,5,2,10;11;14,,12;13
fb5fe58a0f24db0236ee,15187,1,5,5,,,11
fb5fe58a0f24db0236ee,15187,1,5,6,,,
bot,15187,2,5,0,3;13;18,8,23
bot,15187,2,5,3,,8,
bot,15187,2,5,4,10,,
fb5fe58a0f24db0236ee,15188,1,1,0,0;5;10;15,20,
fb5fe58a0f24db0236ee,15188,1,1,3,,6,
fb5fe58a0f24db0236ee,15188,1,1,4,12,,
bot,15188,2,1,1,11;14,,10;12;13
bot,15188,2,1,2,20;22;23;24,,21
bot,15188,2,1,5,,14,
bot,15188,2,1,6,,,
fb5fe58a0f24db0236ee,15188,1,2,0,6,1;16,11;21
fb5fe58a0f24db0236ee,15188,1,2,3,8,,
fb5fe58a0f24db0236ee,15188,1,2,4,7,,
bot,15188,2,2,1,,,
bot,15188,2,2,2,5;6;7;8;9,,
bot,15188,2,2,5,,,
bot,15188,2,2,6,,,
fb5fe58a0f24db0236ee,15188,1,3,0,2;7;12,17;22,
fb5fe58a0f24db0236ee,15188,1,3,3,14,,
fb5fe58a0f24db0236ee,15188,1,3,4,13,,
bot,15188,2,3,1,11;13;14,,10;12
bot,15188,2,3,2,,,
bot,15188,2,3,5,,,
bot,15188,2,3,6,,,21
fb5fe58a0f24db0236ee,15188,1,4,0,9;24,14;19,4
fb5fe58a0f24db0236ee,15188,1,4,3,1,,
fb5fe58a0f24db0236ee,15188,1,4,4,14,,
bot,15188,2,4,1,,,
bot,15188,2,4,2,12;13;14,10,11
bot,15188,2,4,5,,,
bot,15188,2,4,6,,,21
fb5fe58a0f24db0236ee,15188,1,5,0,3;8;23,,13;18
fb5fe58a0f24db0236ee,15188,1,5,3,17,,
fb5fe58a0f24db0236ee,15188,1,5,4,,18,
bot,15188,2,5,1,20;22;24,23,21
bot,15188,2,5,2,0;1;2;3,,4
bot,15188,2,5,5,,7,
bot,15188,2,5,6,,,21
bot,15192,1,1,0,9;14;24,4,19
bot,15192,1,1,3,,6,
bot,15192,1,1,4,20,,
bot,15192,2,1,1,10;11,14,12;13
bot,15192,2,1,2,21;23,,20;22;24
bot,15192,2,1,5,,1,
bot,15192,2,1,6,,,
bot,15192,1,2,0,22,7;17,2;12
bot,15192,1,2,3,,1,
bot,15192,1,2,4,,,16
bot,15192,2,2,1,,,
bot,15192,2,2,2,0;1,,2;3;4
bot,15192,2,2,5,,,
bot,15192,2,2,6,23,,
bot,15192,1,3,0,6;11;21,1;16,
bot,15192,1,3,3,,24,
bot,15192,1,3,4,17,,
bot,15192,2,3,1,11;13,10;12,14
bot,15192,2,3,2,1;3;4,0,2
bot,15192,2,3,5,,,
bot,15192,2,3,6,23,,
bot,15192,1,4,0,9;14;19;24,,4
bot,15192,1,4,3,,1,
bot,15192,1,4,4,13,,
bot,15192,2,4,1,,,
bot,15192,2,4,2,11;13;14,10;12,
bot,15192,2,4,5,,,
bot,15192,2,4,6,,,
bot,15192,1,5,0,0;5;10;15,20,
bot,15192,1,5,3,22,,
bot,15192,1,5,4,19,,
bot,15192,2,5,1,17,15;18;19,16
bot,15192,2,5,2,1,0;3;4,2
bot,15192,2,5,5,,,10
bot,15192,2,5,6,,,
bot,15193,1,1,1,15;16;17;18;19,,
bot,15193,1,1,2,1;2;4,3,0
bot,15193,1,1,5,12,,
bot,15193,1,1,6,20,,
bot,15193,2,1,0,1;11;16;21,6,
bot,15193,2,1,3,16,,
bot,15193,2,1,4,17,,
bot,15193,1,2,1,,,
bot,15193,1,2,2,6;7;9,8,5
bot,15193,1,2,5,,13,
bot,15193,1,2,6,15,,
bot,15193,2,2,0,2;12;17;22,7,
bot,15193,2,2,3,,,24
bot,15193,2,2,4,,,16
bot,15193,1,3,1,20;21;22,,23;24
bot,15193,1,3,2,12;13;14,,10;11
bot,15193,1,3,5,,,8
bot,15193,1,3,6,16,,
bot,15193,2,3,0,8;13;18,,3;23
bot,15193,2,3,3,1,,
bot,15193,2,3,4,12,,
bot,15193,1,4,1,,,
bot,15193,1,4,2,,,
bot,15193,1,4,5,,,3
bot,15193,1,4,6,,,
bot,15193,2,4,0,13;18,8,3;23
bot,15193,2,4,3,18,,
bot,15193,2,4,4,12,,
bot,15193,1,5,1,20;21;22,,23;24
bot,15193,1,5,2,,,
bot,15193,1,5,5,8,,
bot,15193,1,5,6,,,24
bot,15193,2,5,0,2;7;12;17;22,,
bot,15193,2,5,3,14,,
bot,15193,2,5,4,8,,
bot,15194,1,1,0,12;17;22,7,2
bot,15194,1,1,3,4,,
bot,15194,1,1,4,10,,
bot,15194,2,1,1,10;12;13,14,11
bot,15194,2,1,2,10;11,14,12;13
bot,15194,2,1,5,,,6
bot,15194,2,1,6,,20,
bot,15194,1,2,0,9;14,4;19,24
bot,15194,1,2,3,0,,
bot,15194,1,2,4,11,,
bot,15194,2,2,1,,,
bot,15194,2,2,2,5;7;8,9,6
bot,15194,2,2,5,,11,
bot,15194,2,2,6,,16,
bot,15194,1,3,0,13;18,8,3;23
bot,15194,1,3,3,20,,
bot,15194,1,3,4,16,,
bot,15194,2,3,1,20;21;22,,23;24
bot,15194,2,3,2,,,
bot,15194,2,3,5,,,
bot,15194,2,3,6,,,
bot,15194,1,4,0,12;17;22,2,7
bot,15194,1,4,3,,,15
bot,15194,1,4,4,,,
bot,15194,2,4,1,,,
bot,15194,2,4,2,,,
bot,15194,2,4,5,,,10
bot,15194,2,4,6,,,
bot,15194,1,5,0,0;15,10;20,5
bot,15194,1,5,3,3,,
bot,15194,1,5,4,,,
bot,15194,2,5,1,20;21;22,,23;24
